"Date","Time","ID","Fv/Fm","Notes"
“2021-03-19”,”09:54:08”,”hm2-3”,”0.606”,””
“2021-03-19”,”09:59:02”,”hm2-2”,”0.618”,””
“2021-03-19”,”10:04:39”,”hm2-1”,”0.621”,””
“2021-03-19”,”10:09:23”,”hm6-1”,”0.626”,””
“2021-03-19”,”10:14:03”,”hm6-2”,”0.580”,””
“2021-03-19”,”10:18:40”,”hm6-3”,”0.600”,””
“2021-03-19”,”10:23:17”,”hm6-4”,”0.626”,””
“2021-03-19”,”10:27:53”,”hm6-5”,”0.629”,””
“2021-03-19”,”10:33:06”,”hm6-6”,”0.623”,””
“2021-03-19”,”10:37:47”,”hm1-1”,”0.544”,””
“2021-03-19”,”10:42:37”,”hm1-2”,”0.533”,””
“2021-03-19”,”10:48:26”,”hm1-3”,”0.578”,””
“2021-03-19”,”10:53:50”,”hm1-4”,”0.598”,””
“2021-03-19”,”10:58:34”,”hm1-5”,”0.492”,””
“2021-03-19”,”11:03:19”,”hm1-6”,”0.508”,””
“2021-03-19”,”11:07:59”,”hm5-6”,”0.604”,””
“2021-03-19”,”11:12:42”,”hm5-5”,”0.596”,””
“2021-03-19”,”11:17:38”,”hm5-4”,”0.627”,””
“2021-03-19”,”11:22:22”,”hm5-3”,”0.629”,””
“2021-03-19”,”11:26:57”,”hm5-2”,”0.622”,””
“2021-03-19”,”11:31:58”,”hm5-1”,”0.472”,””
“2021-03-21”,”09:27:39”,”hm4-1”,”0.518”,””
“2021-03-21”,”09:32:14”,”hm4-2”,”0.621”,””
“2021-03-21”,”09:37:24”,”hm4-3”,”0.568”,””
“2021-03-21”,”09:41:59”,”hm4-4”,”0.534”,””
“2021-03-21”,”09:46:42”,”hm4-5”,”0.641”,””
“2021-03-21”,”09:23:09”,”hm4-6”,”0.575”,””
“2021-03-21”,”09:51:30”,”hm1-1”,”0.515”,””
“2021-03-21”,”09:56:12”,”hm1-2”,”0.576”,””
“2021-03-21”,”10:00:44”,”hm1-3”,”0.542”,””
“2021-03-21”,”10:05:53”,”hm1-4”,”0.681”,””
“2021-03-21”,”10:10:22”,”hm1-5”,”0.659”,””
“2021-03-21”,”10:15:08”,”hm1-6”,”0.590”,””
“2021-03-21”,”10:19:51”,”hm1-3”,”0.619”,””
“2021-03-21”,”10:24:31”,”hm5-1”,”0.530”,””
“2021-03-21”,”10:29:02”,”hm5-2”,”0.598”,””
